Right Rectus femoris_rms,Right Rectus femoris_var,Right Rectus femoris_zcr,Right Rectus femoris_mav,Right Rectus femoris_pot,Right Rectus femoris_f_media,Right Rectus femoris_f_mediana,Left Gluteus maximus_rms,Left Gluteus maximus_var,Left Gluteus maximus_zcr,Left Gluteus maximus_mav,Left Gluteus maximus_pot,Left Gluteus maximus_f_media,Left Gluteus maximus_f_mediana,Left Gastrocnemius medialis_rms,Left Gastrocnemius medialis_var,Left Gastrocnemius medialis_zcr,Left Gastrocnemius medialis_mav,Left Gastrocnemius medialis_pot,Left Gastrocnemius medialis_f_media,Left Gastrocnemius medialis_f_mediana,Left Semitendinosus_rms,Left Semitendinosus_var,Left Semitendinosus_zcr,Left Semitendinosus_mav,Left Semitendinosus_pot,Left Semitendinosus_f_media,Left Semitendinosus_f_mediana,Left Biceps femoris caput longus_rms,Left Biceps femoris caput longus_var,Left Biceps femoris caput longus_zcr,Left Biceps femoris caput longus_mav,Left Biceps femoris caput longus_pot,Left Biceps femoris caput longus_f_media,Left Biceps femoris caput longus_f_mediana,Right Vastus medialis_rms,Right Vastus medialis_var,Right Vastus medialis_zcr,Right Vastus medialis_mav,Right Vastus medialis_pot,Right Vastus medialis_f_media,Right Vastus medialis_f_mediana,Right Tibialis anterior_rms,Right Tibialis anterior_var,Right Tibialis anterior_zcr,Right Tibialis anterior_mav,Right Tibialis anterior_pot,Right Tibialis anterior_f_media,Right Tibialis anterior_f_mediana,Left Gastrocnemius lateralis_rms,Left Gastrocnemius lateralis_var,Left Gastrocnemius lateralis_zcr,Left Gastrocnemius lateralis_mav,Left Gastrocnemius lateralis_pot,Left Gastrocnemius lateralis_f_media,Left Gastrocnemius lateralis_f_mediana,target
0.011705776630314734,0.00013702319796028378,123,0.008125435597891698,3.6908513582538815e-05,54.57083771699576,50.78125,0.00398908852947662,1.591245729523718e-05,122,0.0032603460435845113,4.217601294834384e-06,45.97428267682932,31.25,0.015383670649242776,0.0002366509097279652,120,0.01118983531812226,5.6015905890013066e-05,72.47782027796515,70.3125,0.010782964470794708,0.0001162689217120943,109,0.007951404117453688,3.391205811223392e-05,53.25686985324232,42.96875,0.007685335970636342,5.906255272517541e-05,133,0.005080059831843092,1.8418186349377426e-05,55.3554336160153,46.875,0.03006277269052471,0.0009037698728238476,99,0.01690687090667087,0.00022302071391794523,54.777399656629115,46.875,0.023136116119037063,0.0005352790619557136,192,0.016626534554767446,0.00013394783876193045,90.84819342793452,93.75,0.025654961348425268,0.0006581323732588251,120,0.019440751676961472,0.0001267829036922557,59.53885954212322,50.78125,0
0.014023445446535015,0.00019665497160235173,111,0.01011752472517636,4.499450091247137e-05,55.85599366889554,54.6875,0.0042230949354858755,1.783452755684993e-05,120,0.0033978474137469476,4.486654689970846e-06,53.183171068475396,46.875,0.039000072979546704,0.0015210029171089092,137,0.0202706565093436,0.0004157880019077405,73.94303891463633,62.5,0.012456037755544401,0.00015515267093636772,108,0.009279816409741144,4.7893973331241774e-05,49.89561387793899,39.0625,0.007840109329840203,6.14668852769255e-05,130,0.005401754720905708,1.900030563222034e-05,54.53685083431755,46.875,0.03366934355766424,0.001133624238878273,119,0.019181547621765122,0.0003119162802850137,57.114868455562785,54.6875,0.02557444037115411,0.000654047415214203,192,0.017600088307429256,0.0001266497826237365,86.07470788537215,82.03125,0.03140904251486286,0.0009864122405403672,149,0.021677861256828374,0.0002937171734499263,79.43290599811053,78.125,0
0.014820365947535616,0.00021962461833402406,121,0.01015083247728546,5.088622020255727e-05,54.1846358657406,46.875,0.004208775154894642,1.771378608518163e-05,126,0.003353918624704038,4.6587585050308344e-06,50.66732833308167,35.15625,0.018641386915962968,0.000347424928519879,122,0.012905006512919332,0.00010723055793725295,79.82322324342717,78.125,0.008958814803080814,8.025961000187179e-05,117,0.006302910158408468,2.0589968381334948e-05,56.11716692382236,42.96875,0.006523910986771356,4.2558851422993925e-05,115,0.004663068344834739,1.2552521915037948e-05,61.76819506110999,50.78125,0.03269946158369153,0.0010692415286984796,110,0.01915512441599328,0.00030971554558743104,60.74435440270347,50.78125,0.024277223114032628,0.0005893808316134413,193,0.01678546862765113,0.00011472642803599697,85.8452048892473,85.9375,0.02620887942796459,0.0006868967886262454,101,0.02038945648264549,0.0002187343027998569,58.35216411253154,54.6875,0
0.013817450929408389,0.00019091556035112428,121,0.0098936881321892,5.2805203385282574e-05,57.536177326242715,46.875,0.004373711917447904,1.912935199923854e-05,115,0.003531743967127813,4.66141644214823e-06,51.067587802061055,39.0625,0.01601753904773027,0.0002564213102319136,132,0.01182433409885154,7.443943741064499e-05,69.87562153391839,62.5,0.010088266365882599,0.00010177297440794612,112,0.007240065025765538,2.967598216058926e-05,53.78663119951041,42.96875,0.008430618296040675,7.107286846869999e-05,124,0.005713961477197393,2.3776078938098344e-05,55.2675881032254,50.78125,0.033745061370448144,0.0011387284345825584,126,0.019172400375822546,0.0004260677553999797,63.34738551786777,58.59375,0.0261166288799089,0.0006820735266582007,199,0.01778416636169707,0.0001435633479044287,86.52151377228469,85.9375,0.021673303772494195,0.00046968037656807305,154,0.01584611992180025,0.00013319426303911764,86.66043192234112,93.75,0
0.013326013089464609,0.0001774416887080621,122,0.009675621239704576,4.538316246298195e-05,58.61873472628031,46.875,0.004640674667534441,2.153535662039436e-05,120,0.003660422905374195,5.652542958896595e-06,45.754436174227635,35.15625,0.017690183762717013,0.00031291111813201684,152,0.012842122278394852,8.789322433577353e-05,79.58804603315235,78.125,0.010809039718162817,0.00011683358934701497,106,0.008257112346959894,2.962077497736315e-05,53.255451249460485,46.875,0.00830730858335229,6.901003404497813e-05,133,0.005585412465368278,2.0963176271879274e-05,60.77887201952058,50.78125,0.039092549091053856,0.0015282014569715182,116,0.022801585610864695,0.00047637784618485054,65.41284253542895,66.40625,0.023007662873439284,0.0005293357714305256,180,0.01630791657344337,8.715473749128229e-05,88.02677907105127,93.75,0.025220022701966504,0.000636049052971227,138,0.01928291106683261,0.0001810383843780253,76.98396145810788,78.125,0
0.01503521936684452,0.00022603900103609887,116,0.010939018882448817,6.367569086053415e-05,57.754584959377524,50.78125,0.0049047737671849305,2.4054623465644905e-05,109,0.0037491503673657118,6.720252893041441e-06,40.12151300984314,27.34375,0.01749911215195417,0.00030621871003943,150,0.012437377287773558,9.478411935211931e-05,81.42472925347667,78.125,0.014302813112043159,0.00020456982885188967,106,0.010431184003485092,4.9409944849535784e-05,49.4458761477698,39.0625,0.008537832524566033,7.28945819455466e-05,125,0.006139581340972846,2.3352127164413916e-05,61.09001811657463,54.6875,0.03930325563129711,0.0015447295477872503,114,0.023100420285623098,0.0005075978626821992,59.81609328019192,54.6875,0.023715734547493292,0.0005624305278992844,201,0.016858690101714164,0.000126193215512952,94.55230271297893,93.75,0.025833233395426633,0.0006670695854007178,132,0.01869172947093573,0.00019723452585119575,76.71214577697583,74.21875,0
0.013120105093619267,0.00017213695092060927,105,0.008343795800503047,5.239067479351516e-05,56.42995906883516,46.875,0.003935325778889545,1.5484017583677776e-05,142,0.0030848867046319815,3.6386176796308503e-06,52.64629038258064,39.0625,0.020547436621192395,0.0004221968393500359,117,0.014190194530699354,0.00013850839405009463,65.43372528254282,54.6875,0.012446316464396968,0.0001548997538625551,97,0.009213821728789753,4.270546059001655e-05,44.092762044435965,31.25,0.008754914030218944,7.664753495475673e-05,118,0.0058580744263010635,2.411073369309483e-05,51.44871794413492,42.96875,0.03253020978247013,0.0010581940031785054,81,0.017334084111567803,0.0003491149720777717,48.61287792789963,35.15625,0.022220278551701327,0.0004937302917766309,182,0.016122527126088398,0.00011712944756103204,86.01539091092562,78.125,0.029990303968755,0.0008994085250282575,112,0.0217859214411577,0.0002485292695060606,73.2751939038187,74.21875,0
0.011905655795209906,0.0001417424463438153,127,0.007778644551831854,4.1455095654726966e-05,59.23479563894731,54.6875,0.004794876477022027,2.2990824629725153e-05,118,0.003616764144756023,6.420862186268065e-06,50.6401071083122,39.0625,0.01736608693340223,0.0003015807589039824,121,0.012774586607352674,9.485303318680646e-05,67.2866158349862,70.3125,0.011191425126963424,0.0001252444540098262,103,0.008241523278129522,3.4387530936783885e-05,51.89766162278039,39.0625,0.008125616690733613,6.602546569555232e-05,118,0.005446365746176143,2.1208979440975705e-05,54.16519463405812,42.96875,0.029645902365231316,0.000878879493567317,115,0.016101048890802962,0.00031247479365791,60.289246393878884,54.6875,0.02261696939043288,0.000511525828097186,175,0.014804926832338352,0.0001181887009648311,87.56814720411118,85.9375,0.025613656610220997,0.0006560565352192784,131,0.01857734867752892,0.0001916434203302748,75.43783042299432,82.03125,0
0.013536447228173779,0.0001832354030219082,127,0.009102468954579862,5.3988998168231994e-05,61.04696876072978,50.78125,0.004123369682141462,1.7001889278522926e-05,137,0.003180100381820261,4.015765802414217e-06,54.96076533126264,39.0625,0.020594844805219233,0.0004241459534812464,138,0.014732531338048893,8.971561603588192e-05,67.62312007793396,66.40625,0.012982562896389134,0.00016853435119454268,117,0.009419094443279277,3.3223295145164416e-05,52.61877279426806,42.96875,0.00727816417927995,5.29702377888835e-05,155,0.005091607105994512,1.558768684842731e-05,60.1882837266588,42.96875,0.031124421281706255,0.0009687288516162468,122,0.017471364426230478,0.0002887538514653411,69.40647652453222,66.40625,0.021083616047341724,0.0004445152968375096,191,0.014571763519113644,0.00012304359185639525,96.35490466805277,97.65625,0.03050745255171888,0.0009307045863415858,131,0.02333691753668301,0.00023574646992948812,53.715916414763875,23.4375,0
0.009737972278547696,9.482610051116224e-05,116,0.007121944059436346,2.8694864159207774e-05,51.916841004081796,42.96875,0.00430392637512632,1.8523708550168708e-05,138,0.003273283185951822,5.151933936604761e-06,49.23619200343137,39.0625,0.01633621281675034,0.0002668278239395841,138,0.011985180685189814,6.838007365650404e-05,70.8673019659432,70.3125,0.011054063814697073,0.00012217105136194464,104,0.008480286646535409,2.7033716004438448e-05,54.9965235667591,42.96875,0.00686223675729029,4.709026393822265e-05,127,0.004771659200764027,1.3820019616836738e-05,54.13611089365509,46.875,0.028844080006828192,0.0008319799742987297,107,0.016143071121870273,0.00024642858691586105,62.45907183176142,54.6875,0.02085135675297081,0.00043476323203115206,187,0.014808088255315875,0.000129682712033483,92.17516053026108,93.75,0.023068501963326337,0.0005321398680031989,149,0.01685491903024477,0.0001498866493158547,78.36980161690656,82.03125,0
